lat,lng,desc,zip,title,timeStamp,twp,addr,e
30.333596,-95.5955947,8931;  MONTGOMERY; Station 311; 2016-06-02 @ 13:31:21;,77316,EMS: CARDIAC EMERGENCY,6/2/2016 13:31,MONTGOMERY,8931,1
32.3870899,-86.276106,600  ; MONTGOMERY; 2016-02-12 @ 18:44:37;,36107,Traffic: DISABLED VEHICLE -,2/12/2016 18:44,MONTGOMERY,600,1
40.3341969,-75.9224947,WALNUT ST & CHERRY ST;  BERKS COUNTY; Station EMS; 2017-09-20 @ 00:57:01;,19602,EMS: CARDIAC EMERGENCY,9/20/2017 0:57,BERKS COUNTY,WALNUT ST & CHERRY ST,1
40.2978759,-75.5812935,REINDEER CT & DEAD END;  NEW HANOVER; Station 332; 2015-12-10 @ 17:10:52;,19525,EMS: BACK PAINS/INJURY,12/10/2015 17:10,NEW HANOVER,REINDEER CT & DEAD END,1
40.3121807,-75.5742598,CHARLOTTE ST & MILES RD;  NEW HANOVER; Station 332; 2015-12-10 @ 17:41:54;,19525,EMS: DIZZINESS,12/10/2015 17:41,NEW HANOVER,CHARLOTTE ST & MILES RD,1
40.3209665,-75.6113493,WILSON AVE & E PHILADELPHIA AVE;  DOUGLASS; Station 332; 2015-12-10 @ 19:07:27;,19525,EMS: CVA/STROKE,12/10/2015 19:07,DOUGLASS,WILSON AVE & E PHILADELPHIA AVE,1
40.2906932,-75.5766612,SWAMP PIKE & ROMIG RD;  NEW HANOVER; Station 332; 2015-12-10 @ 20:45:14;,19525,EMS: SYNCOPAL EPISODE,12/10/2015 20:45,NEW HANOVER,SWAMP PIKE & ROMIG RD,1
40.2763043,-75.5650236,SWAMP PIKE & SANATOGA RD; NEW HANOVER; 2015-12-10 @ 21:56:14;,19525,Traffic: DISABLED VEHICLE -,12/10/2015 21:56,NEW HANOVER,SWAMP PIKE & SANATOGA RD,1
40.284455,-75.574528,CEDAR LN & WILLOW LN;  NEW HANOVER; Station 332; 2015-12-10 @ 22:22:38;,19525,EMS: SEIZURES,12/10/2015 22:22,NEW HANOVER,CEDAR LN & WILLOW LN,1
40.2763043,-75.5650236,SWAMP PIKE & SANATOGA RD; NEW HANOVER; 2015-12-11 @ 06:34:05;,19525,Traffic: DISABLED VEHICLE -,12/11/2015 6:34,NEW HANOVER,SWAMP PIKE & SANATOGA RD,1
40.313464,-75.6066519,MOORE DR & S WERSTLER AVE;  DOUGLASS; Station 332; 2015-12-12 @ 08:56:10;,19525,EMS: HEMORRHAGING,12/12/2015 8:56,DOUGLASS,MOORE DR & S WERSTLER AVE,1
